questions	question_or_statement
LOC:country What country has the most time zones , with 11 ?	1
ENTY:other What `` magic '' does Mandrake employ ?	1
HUM:ind Who is the president of Stanford University ?	1
HUM:ind Whose first presidential order was : `` Let 's get this goddamn thing airborne '' ?	1
ENTY:other What was introduced commercially by Bayer A.G. of Leverkusen , in 1899 ?	1
LOC:city What city is Logan Airport in ?	1
DESC:def What is a nanometer ?	1
NUM:count How many innings are there in a regulation softball game ?	1
NUM:date When did CNN go on the air ?	1
LOC:city What is the largest city on the Great Lakes ?	1
NUM:code What is the telephone number for the University of Kentucky ?	1
HUM:ind Who invented baseball ?	1
NUM:count How many wives did Brigham Young have ?	1
ENTY:product What product on the market is good for hiding facial scars ?	1
NUM:dist How long is the Coney Island boardwalk ?	1
LOC:city What city gained renown for its pea-soup fogs ?	1
DESC:def What does `` Janelle '' mean ?	1
DESC:manner How do I get another city 's newspaper ?	1
ENTY:cremat Name a movie about the Sioux Indians starring Kevin Costner .	1
HUM:ind Who was shot in the back during a Poker game in Deadwood , the Dakota territory ?	1
DESC:desc What are the distinct physical characterstics of the Arabian horse ?	1
ENTY:dismed What is a fear of thunder ?	1
ENTY:animal What animal has killed the most people ?	1
NUM:count How many colleges are in Wyoming ?	1
LOC:city What Russian seaport has a name meaning `` Lord of the East '' ?	1
LOC:other Where can stocks be traded on-line ?	1
NUM:date When was the Battle of Hastings ?	1
ENTY:other What kind of file has the extension .dbf ?	1
NUM:date When did Muhammad live ?	1
ENTY:termeq What then-derogatory term was applied to the painters Monet , Sisley , Pissarro , Renoir and Degas ?	1
DESC:def What is a wop ?	1
DESC:desc Where do rocks come from ?	1
DESC:manner How do I stop background noise in a car stereo ?	1
LOC:mount Where do people mountain climb in Nepal ?	1
HUM:gr What is the best college in the country ?	1
DESC:def What is viscosity ?	1
ENTY:cremat What was the name of the sitcom that Alyssa Milano starred in with Tony Danza ?	1
LOC:country What are the Nordic nations ?	1
LOC:other Where on the Internet can I get information about the Fifth Amendment on the American Bill of Rights ?	1
LOC:state What U.S. state borders Illinois to the north ?	1
ENTY:cremat Name a film in which Jude Law acted .	1
NUM:temp What is the temperature for baking Peachy Oat Muffins ?	1
ENTY:dismed What is a fear of bees ?	1
ENTY:cremat What Vladimir Nabokov novel features Professor Humbert in love with a 12-year-old girl ?	1
DESC:def What is a green bog ?	1
LOC:other Where did the myth of Santa Claus originate ?	1
ENTY:other What does a chairbound basophobic fear ?	1
LOC:city What city is served by Logan International Airport ?	1
HUM:ind What wrestling star became `` The Incredible Hulk '' ?	1
LOC:other What attracts tourists to Reims ?	1
ENTY:sport What game do Steve McQueen and Edward G. Robinson play in The Cincinnati Kid ?	1
ENTY:other What fastener did Whitcomb Judson patent in 1893 ?	1
DESC:def What 's an auberge in France ?	1
HUM:ind Who was the star of the 1965 Broadway hit Golden Boy ?	1
LOC:other Where is Procter & Gamble based in the U.S. ?	1
HUM:gr What army was founded by William Booth and his wife Catherine ?	1
ENTY:substance What does ribavirin consist of ?	1
ENTY:food Name the soft drink that is `` number one in the sun . ''	1
LOC:other What is the web address of the list of e-mail addresses of members of the House of Representatives ?	1
HUM:ind What was her real name ?	1
DESC:reason Why are the ears your center of balance ?	1
HUM:ind Who invented the toothbrush ?	1
ENTY:cremat What was the name of that popular song the Creeps sang ?	1
LOC:other Where is the Abominable Snowman said to wander ?	1
ENTY:dismed What is a fear of being alone ?	1
NUM:count How many dots make up the symbol for `` because '' ?	1
ENTY:food What do you get by adding Lactobacillus bulgaricus to milk ?	1
ABBR:exp When reading classified ads , what does EENTY : other stand for ?	1
NUM:count How many hearts does an octopus have ?	1
ENTY:plant What plant has the largest seed ?	1
LOC:country What was the only country you were allowed to drive into Israel from in 1979 ?	1
ENTY:other What 's approaching when a cyclist shouts : `` Oil '' ?	1
HUM:ind What baseball star turned down a $1 , 000-a-year contract because he felt he had n't earned it ?	1
ENTY:sport What kind of sport is often associated with hooligans ?	1
HUM:ind What video game hero do some of his fans call Chomper ?	1
NUM:count How many holes are there in a tenpin bowling ball ?	1
ENTY:word What is the longest word in the English language ?	1
LOC:other In What city or state do the most gay men live in ?	1
HUM:ind What TV comediennes 's characters include former movie star Nora Desmond , secretary Mrs. Wiggins and a housewife named Eunice ?	1
ENTY:animal What is `` the bear of beers '' ?	1
ENTY:other Name the operating system that runs on IBM-compatible machines .	1
DESC:def What does the name `` Justin '' mean ?	1
NUM:perc What percentage of the body is muscle ?	1
ENTY:color What color of dry wine should be served with veal roasts and chops ?	1
ENTY:substance What is a golf ball made of ?	1
DESC:def What is the Amish religion ?	1
NUM:money What does an average daycare provider get paid in New England ?	1
HUM:gr What was the name of the 187s Irish terrorist group in Pennsylvania mining areas ?	1
HUM:ind Who played the Ringo Kid in the 1939 film Stagecoach ?	1
HUM:ind Who died 1 feet from where John F. Kennedy did ?	1
DESC:def What is the `` coppertop '' battery ?	1
ENTY:symbol What sign is The Water Carrier the zodiacal symbol for ?	1
ENTY:animal What animals do you find in the stock market ?	1
DESC:def What is color ?	1
NUM:date When is the site www.questions.com going to open ?	1
ENTY:cremat What did Shostakovich write for Rostropovich ?	1
HUM:ind What first name was Nipsy Russell given at birth ?	1
DESC:manner How can I get some free technical information on Electric Vehicle ?	1
HUM:ind Who is the youngest of the Beatles ?	1
DESC:manner How did shipyard inspector James J. Kilroy designate equipment as being satisfactory ?	1
DESC:def What is a Jellicle Cat ?	1
LOC:other Where can I find the best free evidence for debate about Russia ?	1
LOC:other What is Bill Gates of Microsoft E-mail address ?	1
ENTY:substance What is the second hardest substance ?	1
DESC:reason Why did several San Diego schools stop serving apples to students ?	1
LOC:city What Russian city boasts the Hermitage Museum ?	1
NUM:date When is Bastille Day ?	1
DESC:reason What makes a tornado turn ?	1
NUM:count How many shots can a stock M16 hold ?	1
ENTY:color What two colors are you blind to if you suffer from protanopia ?	1
DESC:reason Why do n't you guys have some sort of contest where you ask a question and whoever finds the answers wins a prize ?	1
HUM:desc Who is Coronado ?	1
ENTY:cremat What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger ?	1
DESC:def What is artificial intelligence ?	1
ENTY:food What do flatfish eat ?	1
HUM:ind Who was the first Holy Roman Emperor ?	1
ENTY:other What can I use to remove the stubborn gummed labels from some diskettes ?	1
NUM:date What day of the week sees the most fatal car accidents ?	1
DESC:desc What is the origin of the word , magic ?	1
ENTY:sport What sport do you shag flies in ?	1
DESC:def What is white chocolate ?	1
LOC:other Where is Trinidad ?	1
HUM:gr Name the organization that is presided by a Security Council .	1
HUM:ind Who graced the airwaves with such pearls as `` Do ya lo-o-ove me ? Get naked , baby ! '' ?	1
ENTY:food What kind of wine is Spumante ?	1
HUM:ind Who portrayed portly criminologist Carl Hyatt on Checkmate ?	1
ENTY:termeq How do you say I love you in Spanish ?	1
DESC:def What does the name Gina mean ?	1
ENTY:product What is the most advanced handheld calculator in the world ?	1
NUM:speed How fast is light ?	1
ENTY:termeq What is the belt of low pressure around the equator called ?	1
DESC:def What are shooting stars ?	1
HUM:gr Whom did the Chicago Bulls beat in the 1993 championship ?	1
NUM:date When was the first American encyclopedia published ?	1
LOC:other What 's the tallest building in New York City ?	1
DESC:manner How is Easter Sunday 's date determined ?	1
DESC:desc What is the Motto for the State of Maryland ?	1
HUM:desc Who is Desmond Tutu ?	1
LOC:other Where can I find information on the Narragansett Indians and other tribes in Rhode Island ?	1
ENTY:animal Name a tiger that is extinct .	1
NUM:count How many quarters equal a pound ?	1
ENTY:cremat What kind of books does Fodor 's publish ?	1
HUM:ind What are the first names of Rowan and Martin , the stars of TV 's Laugh-In ?	1
NUM:ord What chapter of the Bible has the most verses ?	1
HUM:ind Who is the worst US President ever ?	1
HUM:ind What Asian leader was known as The Little Brown Saint ?	1
ABBR:abb What is the abbreviated expression for the National Bureau of Investigation ?	1
NUM:speed How fast does the fastest car go ?	1
LOC:mount What is the highest mountain in the world ?	1
LOC:other What arch can you see from the Place de la Concorde ?	1
HUM:ind Who sings the song `` Drink to me with thine eyes '' by Ben Johnson ?	1
NUM:period How long should a person wash their hands before they are clean ?	1
LOC:other Which way do you turn your Bic to increase the flame - clockwise or counterclockwise ?	1
LOC:country Which is the wealthiest country in the world ?	1
DESC:manner How can I find a phone number of someone if I only know their email address ?	1
DESC:manner How can you contact play producers and promoters on-line ?	1
HUM:ind Who is the monarch of the United Kingdom ?	1
ENTY:dismed What is a fear of passing high objects ?	1
DESC:desc What do players try to do when the music stops in a game of musical chairs ?	1
HUM:ind What are the top ten most common girl names in the US ?	1
DESC:reason Why is black the color of mourning in the West ?	1
ENTY:other What is the rarest coin ?	1
ENTY:cremat What Judith Rossner novel was made into a film starring Diane Keaton ?	1
LOC:country Which country is Australia 's largest export market ?	1
LOC:other Where is the Kentucky Horse Park located ?	1
ENTY:dismed What is a fear of parasites ?	1
ENTY:sport In what Olympic Games did Nadia Comaneci become popular ?	1
HUM:ind Who does data collection in tourism ?	1
HUM:ind What was the name of the daughter of the Virginia chief Powhatan that married John Rolfe ?	1
LOC:state What is the leading pecan and peanut growing state ?	1
DESC:desc What does a nihilist believe in ?	1
DESC:desc What did Richard Feynman say upon hearing he would receive the Nobel Prize in Physics ?	1
ENTY:sport In what sport are these following numbers relevant : 118 , 126 , 134 , 142 , 15 , 158 , 167 , 177 , and 19 ?	1
HUM:ind Who were the four famous founders of United Artists ?	1
ENTY:cremat What 2 statues did France give to other countries ?	1
DESC:def What are amphibians ?	1
NUM:count How many sperm cells are in an average ejaculation ?	1
ENTY:product Name the disposable razor that `` costs about 19 cents . ''	1
NUM:dist How far do you have to run if you hit a home run ?	1
HUM:ind Who was the only U.S. President to wear a Nazi uniform ?	1
HUM:gr Woodrow Wilson served as president of what university ?	1
LOC:other Where are the tropical rain forest distributions ?	1
HUM:ind What 's the nickname of oddsmaker Jimmy Snyder ?	1
ENTY:dismed What is the fear of being loved ?	1
NUM:other What was the number of people that Randy Steven Craft was convicted of killing ?	1
HUM:title What was Queen Victoria 's title regarding India ?	1
DESC:manner How is a hydrogen bomb different from a nuclear bomb ?	1
NUM:dist How far can a man travel in outer space ?	1
LOC:other Where was Lincoln assassinated ?	1
ENTY:food What type of food makes you fat ?	1
ENTY:dismed What is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?	1
NUM:count What was the U.S. highway death toll in 1969 ?	1
ENTY:animal What kind of animals are Dorsets , Lincolns , Oxfords and Southdowns ?	1
ENTY:cremat What are the shortest and the longest songs ever produced ?	1
ENTY:letter What letter is to the right of K on a typewriter keyboard ?	1
DESC:desc What is the origin and the meaning of the name , `` Hajo ? ''	1
ENTY:word What is the plural of gulf ?	1
HUM:ind Whose autobiography is titled Yes I Can ?	1
NUM:date What year did the United States pass the Copyright law ?	1
NUM:perc What percentage of Americans own their homes ?	1
NUM:date What 's the first day of the week ?	1
LOC:city What city was President William McKinley shot in ?	1
LOC:city What city has the world 's longest subway system ?	1
HUM:ind Who claimed he killed 4 , 280 buffalo as food for the crew building the Kansas Pacific Railway ?	1
DESC:def What is Bombay duck ?	1
NUM:count How many degrees cooler is the inside of a cucumber than the air outside ?	1
HUM:ind What double talking `` professor '' holds a doctorate in Nothing ?	1
LOC:city What are the five most expensive cities in the world ?	1
HUM:ind What 19th-century writer had a country estate on the Hudson dubbed Sunnyside ?	1
NUM:count How many layers of yellow paint is a Faber Mongol pencil lucky enough to be sprayed with ?	1
DESC:def What is a virtual IP address ?	1
HUM:ind What was the name of the cook on Rawhide ?	1
LOC:other What county is Chicago in ?	1
NUM:dist What is the wingspan of a condor ?	1
DESC:desc What facial feature typically contains about 55 hairs ?	1
HUM:ind Who was named Admiral of the Ocean Seas and Viceroy and Governor General of all the islands he might discover , and also granted 10-?? of all profits of his voyage .	1
DESC:manner How can I transport files from one computer to another ?	1
ENTY:termeq What 's the literary term for a play on words ?	1
ENTY:color What color were their horses ?	1
NUM:money What does an average daycare provider get paid in New England ?	1
HUM:ind What author landed a 468-pound marlin without harness in the early 193 's ?	1
NUM:count How many Americans fought for the British in the American Revolution ?	1
ENTY:other What kind of education do I need to become a flight attendant ?	1
ENTY:lang What are the two languages of Malta ?	1
NUM:count How many oceans are there and name them ?	1
DESC:desc What happened during the Blackhawk Indian war of 1832 ?	1
NUM:count How many pairs of legs does a lobster have ?	1
DESC:def What does the Latin ante mortem mean ?	1
DESC:def What does the name Shawn mean ?	1
LOC:other Where is the Danube ?	1
HUM:ind What lawyer won the largest divorce settlement , $85 million , in U.S. history for Sheika Dena Al-Farri ?	1
ENTY:animal What do you call a group of geese ?	1
HUM:ind Who delivered his last newscast on March 6 , 1981 ?	1
NUM:count How many times has `` Louie , Louie '' been recorded ?	1
DESC:manner How is Answers.com different from KnowPost.com ?	1
LOC:other What is the longest place name in the U.S. ?	1
NUM:perc What percent liked Thatcher after she had been in power for a decade ?	1
LOC:other Where does Buzz Aldrin want to build a permanent , manned space station ?	1
ENTY:cremat What was Mel Gibson 's first movie ?	1
DESC:reason Why was the L.A. office of Shea and Gould closed ?	1
DESC:manner How do I start a bank ?	1
DESC:manner How do Ouija Boards work ?	1
ENTY:animal What horse did Zorro ride ?	1
DESC:manner How do you get a broken cork out of a bottle ?	1
LOC:other Where can I find correct tabs for Third Eye Blind songs ?	1
DESC:manner How do you determine heating requirements for your home ?	1
HUM:ind What former major-league left-handed baseball pitcher was known as `` Space Man '' ?	1
ENTY:product Which hair care product told us `` hate that gray , wash it away '' ?	1
DESC:reason Why did the chicken cross the road ?	1
HUM:ind What was Michelangelo 's last name ?	1
HUM:desc Who is Barbara Jordan ?	1
HUM:ind Who was the Democratic nominee in the American presidential election ?	1
ENTY:cremat What was Connecticut 's first constitution called ?	1
ENTY:event What historical event happened in Dogtown in 1899 ?	1
DESC:def What is being done about the millennium bug ?	1
DESC:reason What was the claim to fame of King Camp Gillette ?	1
ENTY:dismed What is the most common kind of skin cancer in the U.S. ?	1
DESC:def What is Olestra ?	1
LOC:country What Asian country has a bill of rights for cows ?	1
NUM:count How many fingers are used to draw a bow ?	1
ENTY:plant What are two plants that clothes are made from ?	1
NUM:date When was Hurricane Hugo ?	1
ENTY:food What is the most heavily caffeinated soft drink ?	1
HUM:ind What President-to-be was the first member of Congress to enlist following the attack on Pearl Harbor ?	1
NUM:money What was the price of Varian Associates ' vacuum products division ?	1
NUM:date When was `` the Great Depression '' ?	1
ENTY:lang What language is mostly spoken in Brazil ?	1
HUM:gr What college produced the most winning Super Bowl quarterbacks ?	1
DESC:manner How do you solve `` Rubik 's Cube '' ?	1
DESC:def What is prepared mustard ?	1
HUM:ind What classical Spanish writer warned : `` All that glitters is not gold '' ?	1
DESC:def What does `` antidisestablishmentarianism '' mean ?	1
HUM:ind What actor married John F. Kennedy 's sister ?	1
ENTY:dismed What does a topophobic actor suffer from ?	1
HUM:ind Who fired Maria Ybarra from her position in San Diego council ?	1
NUM:period The italian artist , Maurizio Pellegrin , is how old ?	1
ENTY:other What type of hunting are retrievers used for ?	1
DESC:reason What is Colin Powell best known for ?	1
HUM:ind Who was the first black golfer to tee off in the Masters ?	1
LOC:city What city is the setting for Puccini 's opera La Boheme ?	1
HUM:ind What U.S. President showed a fondness for munching on bee pollen bars ?	1
DESC:def What is measured in curies ?	1
HUM:ind Whose cover is that of an employee of Universal Import and Export ?	1
HUM:ind What former president 's daughter has written a book titled Murder in the White House ?	1
HUM:ind What fictional character is known as the `` melancholy Dane '' ?	1
ENTY:product Italy is the largest producer of what ?	1
HUM:ind What longtime game show host dropped dead while jogging in Central Park in 1984 ?	1
DESC:def What is the meaning of W.B. Yeat 's poem , `` The Three Hermits ? ''	1
HUM:ind Who were the `` filthiest people alive ? ''	1
ENTY:dismed What infectious disease is the world 's deadliest ?	1
DESC:def What is Spumante ?	1
NUM:date In what year did Ireland elect its first woman president ?	1
DESC:def What is an isthmus ?	1
ENTY:animal What was the name of the orca that died of a fungal infection ?	1
LOC:other Where is Mozambique located ?	1
ENTY:animal What is Mississippi 's state animal ?	1
DESC:desc What 's the origin of the word ` news ' ?	1
ENTY:other What did Dan Aykroyd and John Belushi quit Saturday Night Live to become ?	1
NUM:count How many months does a normal human pregnancy last ?	1
DESC:manner How do fuel injectors work ?	1
DESC:manner How can your school march in the Macy 's Thanksgiving Parade ?	1
HUM:ind What is the real name of disc jockey `` Wolfman Jack '' ?	1
ENTY:veh What Italian liner was hijacked in 1985 ?	1
LOC:city What city houses the U.S. headquarters of Procter and Gamble ?	1
ENTY:product What soap was touted as being `` for people who like people '' ?	1
NUM:money How much was the minimum wage in 1991 ?	1
ABBR:exp What does NAFTA stand for ?	1
HUM:ind Who invented silly putty ?	1
HUM:gr What new middle school was built in Philadelphia , Pennsylvania last year ?	1
HUM:ind Who patented the first phonograph ?	1
ENTY:techmeth What are some tips for building a fire in a fireplace ?	1
ENTY:food What do manatees eat ?	1
ENTY:termeq How do you say 2 in Latin ?	1
ENTY:cremat What were popular songs and types of songs in the 1920s ?	1
NUM:count How many Vietnamese were there in the Soviet Union ?	1
ENTY:other What is November 's birthstone ?	1
DESC:def What is a Certified Nurse Midwife ?	1
NUM:count On average , how many miles are there to the moon ?	1
HUM:ind Who created private detective Philip Marlowe ?	1
ENTY:cremat What Boris Pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?	1
DESC:desc What is the origin of the expression `` tout de suite '' ?	1
ENTY:word What is the longest English word ?	1
DESC:reason What is the purpose of a car bra ?	1
DESC:reason What is D.B. Cooper known for ?	1
HUM:desc Who is Colin Powell ?	1
ENTY:animal What species is a colt ?	1
ABBR:exp What is the full name of the PLO ?	1
LOC:country What is the smallest country in Africa ?	1
HUM:ind Who coined the term NN cyberspace `` in his novel NN Neuromancer '' ?	1
ENTY:event What age followed the Bronze Age ?	1
HUM:title What is her profession ?	1
HUM:ind What is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ?	1
ABBR:exp What does the word LASER mean ?	1
DESC:def What does the name `` Anthony '' mean ?	1
HUM:ind Who was Lauren Bacall 's first husband ?	1
DESC:def What is a rhomboideus minor ?	1
NUM:count How many hands does Bjorn Borg use when hitting his forehand ?	1
NUM:count How many people died on D-Day ?	1
HUM:ind What U.S. Congressman said : `` Keep the faith , baby '' .	1
HUM:ind Who created the character of Scrooge ?	1
NUM:other What is the student population at the University of Massachusetts in Amherst ?	1
LOC:other Where is Windsor Castle ?	1
NUM:date When did the Dow first reach ?	1
DESC:reason Why were people recruited for the Vietnam War ?	1
HUM:gr What party was Winston Churchill a member of ?	1
HUM:gr What American League baseball team 's worst finish between 1926 and 1964 was fourth ?	1
LOC:other Where can I find the names of all the 15 Pokemon ?	1
LOC:state What state does Martha Stewart live in ?	1
ENTY:animal Which killer whale died at Sea World of a fungal infection ?	1
LOC:country What are the Benelux countries ?	1
LOC:other Where 's the Petrified Forest ?	1
ENTY:lang What is a language spoken by the Sioux ?	1
LOC:other Where is Tornado Alley ?	1
HUM:ind Who was the author of `` John Brown 's Body '' ?	1
HUM:ind What American poet wrote : `` Good fences make good neighbors '' ?	1
LOC:state What state in the U.S. has the most blacks ?	1
DESC:reason Why are electric cars less efficient in the northeast than in California ?	1
HUM:title What was the occupation of Mandy Rice-Davies ?	1
LOC:city What is the city in which Maurizio Pellegrin lives called ?	1
HUM:ind Who painted the Sistine Chapel ?	1
HUM:ind Name the various costumed personas of Dr. Henry Pym .	1
ENTY:animal What breed of dog was the `` Little Rascals '' dog ?	1
DESC:desc What are the living conditions in Cuba ?	1
ENTY:color What color are school buses ?	1
LOC:other What is the oldest website on the Internet ?	1
ENTY:event What events happened January 26 , 1978 ?	1
HUM:ind What explorers followed Columbus to the Americas ?	1
HUM:ind Who is actress Goldie Hawn 's current actor boyfriend ?	1
HUM:ind Who banned Peter Rose from baseball for betting on games ?	1
DESC:def What are the seven virtues ?	1
ENTY:termeq What other name were the `` Little Rascals '' known as ?	1
NUM:date When was the San Francisco fire ?	1
ENTY:dismed What is a fear of food ?	1
NUM:count How many casinos are in Atlantic City , NJ ?	1
NUM:date What year did the Vietnam War end ?	1
HUM:ind What are the names of Richard Nixon 's two daughters ?	1
ENTY:word What 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?	1
NUM:count What is the chromosome number of an elephant ?	1
HUM:gr What organization was founded by the Rev. Jerry Falwell ?	1
LOC:other What 's the longest river in the world ?	1
ENTY:food Which soft drink does Madonna advertise for ?	1
HUM:gr What company is being bought by Yahoo and how much is the deal worth ?	1
NUM:date When was Berlin 's Brandenburg gate erected ?	1
NUM:count How many double-word-score spaces are there on a Scrabble Crossword Game board ?	1
NUM:date What year did Germany sign its nonaggression pact with the Soviet Union ?	1
LOC:mount What mountain range is traversed by the highest railroad in the world ?	1
DESC:reason Why were the American soldiers in WWI called `` Doughboys ''	1
HUM:ind Who was nicknamed The Little Corporal ?	1
NUM:count How many CDs has Garth Brooks sold ?	1
ENTY:veh Name the vessel used by the Atari Force in the DC comics .	1
LOC:other Where are the leading medical groups specializing in lung diseases ?	1
DESC:manner How can I find online spelling , and punctuation drills for my 6th grader ?	1
LOC:other What 's the sacred river of India ?	1
LOC:country What is Stefan Edberg 's native country ?	1
ENTY:body What is the only gland in humans that can regenerate itself ?	1
NUM:count How many Gutenberg Bibles are there ?	1
LOC:country Name the largest country in South America .	1
ENTY:event What astronomical phenomenon takes place in Jan. 1999 ?	1
DESC:desc What information can you get me on Fairground Park in St. Louis	1
HUM:ind What was American folk hero John Chapman 's nickname ?	1
DESC:desc What is the difference between a median and a mean ?	1
ENTY:cremat What was the top box office movie in April 1998 ?	1
DESC:reason What makes thunder ?	1
HUM:ind What author did photographer Yousuf Karsh call `` the shiest man I ever met '' ?	1
ENTY:other Which is the largest clock , diameter wise , in Europe ?	1
ENTY:plant What plant is rum made from ?	1
LOC:country What country are Godiva chocolates from ?	1
HUM:ind Name the poet of the poem which begins : I do not know much about gods ; but I think that the river Is a strong brown god-sullen , and untamed ?	1
ENTY:food Which condiment was once sold as a patent medicine ?	1
LOC:state What U.S. state records the least rainfall ?	1
DESC:reason Why did the world enter a global depression in 1929 ?	1
DESC:def What was archy , and mehitabel ?	1
LOC:city What Texas city got its name from the Spanish for `` yellow '' ?	1
ENTY:substance What are the chemicals used in glowsticks ?	1
LOC:country What country did the Nile River originate in ?	1
ENTY:color What color are tennis balls ?	1
HUM:ind What barroom judge called himself The Law West of the Pecos ?	1
DESC:desc What excuse did the NATO people give for hitting the Chinese embassy ?	1
HUM:ind Who was President of Costa Rica in 1994 ?	1
ENTY:sport What sports event is Meyer Wolfsheim supposed to have fixed in The Great Gatsby ?	1
LOC:country What country has the best defensive position in the board game Diplomacy ?	1
LOC:country What two countries share the Khyber Pass ?	1
HUM:ind Who was chairman of the Senate select committee that tried to get to the bottom of Watergate ?	1
DESC:desc What is the origin of the surname of Braun ?	1
ENTY:sport What card game has variations called Canfield , Klondike and Spider ?	1
DESC:def What is Australia Day ?	1
ENTY:animal What mammal of North America is the world 's longest-lived for its size ?	1
DESC:def What was the Chivington Massacre ?	1
HUM:ind What actor starred in 1980 's Blue Lagoon , 1982 's The Pirate Movie and 1983 's A Night in Heaven ?	1
NUM:count How many home runs did Lou Gehrig have during his career ?	1
LOC:city In what city is the headquarters of Sinn Fein ?	1
LOC:other Where can I find information on George Bush ?	1
HUM:ind Who is the voice of Miss Piggy ?	1
ENTY:termeq What is the dialogue circle in cartoons called ?	1
DESC:def What does the word camaro mean , from the GM car the Camaro ?	1
HUM:ind Who replaced Bert Parks as the host of The Miss America Pageant ?	1
NUM:count How many boys play the game in Winslow Homer 's 1872 painting Snap the Whip ?	1
DESC:def What is the AIM-54C Phoenix ?	1
NUM:date When are sheep shorn ?	1
ENTY:sport What sport is Chris Jogis a top player of ?	1
LOC:other What 's the second-largest island in the world ?	1
DESC:def What is the definition of low island ?	1
NUM:date What century does Captain Video live in ?	1
ENTY:other What types of water pollution are there ?	1
NUM:count How many astronauts manned each Project Mercury flight ?	1
ENTY:food What soft drink would provide me with the biggest intake of caffeine ?	1
ENTY:other What 's the name of a golf course in Myrtle Beach ?	1
ENTY:event What are some of the significant historical events of the 1990s ?	1
ENTY:cremat Name the only extant trilogy of classical Greek plays .	1
LOC:other Where is Logan Airport ?	1
DESC:desc What is the difference between Neoclassical art and Romanticism art ?	1
HUM:ind Who was the first person inducted into the U.S. Swimming Hall of Fame ?	1
HUM:ind What golfer has been called Ohio Fats and Blobbo ?	1
HUM:ind Who murdered Leno and Rosemary LaBianca on August 1	1
NUM:money What is the average cost for four years of medical school ?	1
ENTY:other What does God create in the first sentence of the Bible ?	1
HUM:ind Which of the following men was not married to Rita Hayworth ?	1
NUM:money What is the current ticket fare from from Cairo to Barbados ?	1
ABBR:exp What does NN O `` mean when used as a prefix in Irish surnames ?	1
DESC:manner How do you find oxidation numbers ?	1
LOC:state What is the state nickname of Mississippi ?	1
DESC:reason What is Black Hills , South Dakota most famous for ?	1
ENTY:cremat What 1966 boob tube bomb took astronauts back to prehistoric times ?	1
NUM:count How many students attend the University of Massachusetts ?	1
HUM:ind Who said , `` I shall return . '' during World War Two ?	1
ENTY:event What holidays are celebrated in Ireland ?	1
HUM:ind Who portrayed Etta Place , companion to Butch Cassidey and the Sundance Kid ?	1
DESC:def What are the Greek numerals ?	1
LOC:other What 's the name of the temple that is located near the capital city of Laos ?	1
ENTY:dismed What is a fear of sleep ?	1
ENTY:sport What auto race was Wilbur Reed the first to win three times ?	1
ENTY:animal What are the most common breeding birds in the U.S. ?	1
ENTY:event What was organized as a Confederate veterans ' social club in Pulaski , in Tennessee , in 1866 ?	1
DESC:manner How do you look up criminal records on the Internet ?	1
LOC:other Where is the actress , Marion Davies , buried ?	1
DESC:desc What is an example of an actual case of using the Fourteenth Amendment ?	1
HUM:ind Who was the Charlie perfume woman ?	1
Wow... Loved this place.	0
Crust is not good.	0
Not tasty and the texture was just nasty.	0
Stopped by during the late May bank holiday off Rick Steve recommendation and loved it.	0
The selection on the menu was great and so were the prices.	0
Now I am getting angry and I want my damn pho.	0
Honeslty it didn't taste THAT fresh.)	0
The potatoes were like rubber and you could tell they had been made up ahead of time being kept under a warmer.	0
The fries were great too.	0
A great touch.	0
Service was very prompt.	0
Would not go back.	0
The cashier had no care what so ever on what I had to say it still ended up being wayyy overpriced.	0
I tried the Cape Cod ravoli, chicken, with cranberry...mmmm!	0
I was disgusted because I was pretty sure that was human hair.	0
I was shocked because no signs indicate cash only.	0
Highly recommended.	0
Waitress was a little slow in service.	0
This place is not worth your time, let alone Vegas.	0
did not like at all.	0
The Burrittos Blah!	0
The food, amazing.	0
Service is also cute.	0
I could care less... The interior is just beautiful.	0
So they performed.	0
That's right....the red velvet cake.....ohhh this stuff is so good.	0
- They never brought a salad we asked for.	0
This hole in the wall has great Mexican street tacos, and friendly staff.	0
Took an hour to get our food only 4 tables in restaurant my food was Luke warm, Our sever was running around like he was totally overwhelmed.	0
The worst was the salmon sashimi.	0
Also there are combos like a burger, fries, and beer for 23 which is a decent deal.	0
This was like the final blow!	0
I found this place by accident and I could not be happier.	0
seems like a good quick place to grab a bite of some familiar pub food, but do yourself a favor and look elsewhere.	0
Overall, I like this place a lot.	0
The only redeeming quality of the restaurant was that it was very inexpensive.	0
Ample portions and good prices.	0
Poor service, the waiter made me feel like I was stupid every time he came to the table.	0
My first visit to Hiro was a delight!	0
Service sucks.	0
The shrimp tender and moist.	0
There is not a deal good enough that would drag me into that establishment again.	0
Hard to judge whether these sides were good because we were grossed out by the melted styrofoam and didn't want to eat it for fear of getting sick.	0
On a positive note, our server was very attentive and provided great service.	0
Frozen pucks of disgust, with some of the worst people behind the register.	0
The only thing I did like was the prime rib and dessert section.	0
It's too bad the food is so damn generic.	0
The burger is good beef, cooked just right.	0
